names,metadata,conference
BrighamYoung,7,Mountain West
FloridaState,0,Atlantic Coast
Iowa,2,Big Ten
KansasState,3,Big Twelve
NewMexico,7,Mountain West
TexasTech,3,Big Twelve
PennState,2,Big Ten
SouthernCalifornia,8,Pacific Ten
ArizonaState,8,Pacific Ten
SanDiegoState,7,Mountain West
Baylor,3,Big Twelve
NorthTexas,5,Big West
NorthernIllinois,6,Mid-American
Northwestern,2,Big Ten
WesternMichigan,6,Mid-American
Wisconsin,2,Big Ten
Wyoming,7,Mountain West
Auburn,9,Southeastern
Akron,6,Mid-American
VirginiaTech,1,Big East
Alabama,9,Southeastern
UCLA,8,Pacific Ten
Arizona,8,Pacific Ten
Utah,7,Mountain West
ArkansasState,5,Big West
NorthCarolinaState,0,Atlantic Coast
BallState,6,Mid-American
Florida,9,Southeastern
BoiseState,5,Big West
BostonCollege,1,Big East
WestVirginia,1,Big East
BowlingGreenState,6,Mid-American
Michigan,2,Big Ten
Virginia,0,Atlantic Coast
Buffalo,6,Mid-American
Syracuse,1,Big East
CentralFlorida,14,CentralFlorida
GeorgiaTech,0,Atlantic Coast
CentralMichigan,6,Mid-American
Purdue,2,Big Ten
Colorado,3,Big Twelve
ColoradoState,7,Mountain West
Connecticut,13,Connecticut
EasternMichigan,6,Mid-American
EastCarolina,4,Conference USA
Duke,0,Atlantic Coast
FresnoState,10,Western Athletic
OhioState,2,Big Ten
Houston,4,Conference USA
Rice,10,Western Athletic
Idaho,5,Big West
Washington,8,Pacific Ten
Kansas,3,Big Twelve
SouthernMethodist,10,Western Athletic
Kent,6,Mid-American
Pittsburgh,1,Big East
Kentucky,9,Southeastern
Louisville,4,Conference USA
LouisianaTech,16,LouisianaTech
LouisianaMonroe,17,LouisianaMonroe
Minnesota,2,Big Ten
MiamiOhio,6,Mid-American
Vanderbilt,9,Southeastern
MiddleTennesseeState,15,Middle Tennessee State
Illinois,2,Big Ten
MississippiState,9,Southeastern
Memphis,4,Conference USA
Nevada,10,Western Athletic
Oregon,8,Pacific Ten
NewMexicoState,5,Big West
SouthCarolina,9,Southeastern
Ohio,6,Mid-American
IowaState,3,Big Twelve
SanJoseState,10,Western Athletic
Nebraska,3,Big Twelve
SouthernMississippi,4,Conference USA
Tennessee,9,Southeastern
Stanford,8,Pacific Ten
WashingtonState,8,Pacific Ten
Temple,1,Big East
Navy,12,Navy
TexasA&M,3,Big Twelve
NotreDame,11,NotreDame
TexasElPaso,10,Western Athletic
Oklahoma,3,Big Twelve
Toledo,6,Mid-American
Tulane,4,Conference USA
Mississippi,9,Southeastern
Tulsa,10,Western Athletic
NorthCarolina,0,Atlantic Coast
UtahState,5,Big West
Army,4,Conference USA
Cincinnati,4,Conference USA
AirForce,7,Mountain West
Rutgers,1,Big East
Georgia,9,Southeastern
LouisianaState,9,Southeastern
LouisianaLafayette,18,LouisianaLafayette
Texas,3,Big Twelve
Marshall,6,Mid-American
MichiganState,2,Big Ten
MiamiFlorida,1,Big East
Missouri,3,Big Twelve
Clemson,0,Atlantic Coast
NevadaLasVegas,7,Mountain West
WakeForest,0,Atlantic Coast
Indiana,2,Big Ten
OklahomaState,3,Big Twelve
OregonState,8,Pacific Ten
Maryland,0,Atlantic Coast
TexasChristian,10,Western Athletic
California,8,Pacific Ten
AlabamaBirmingham,4,Conference USA
Arkansas,9,Southeastern
Hawaii,10,Western Athletic
